@relation Gestures

@attribute Mean_GyroX numeric
@attribute Max_GyroX numeric
@attribute Min_Gyrox numeric
@attribute RMS_Gyrox numeric
@attribute Mean_AcclY numeric
@attribute Max_AcclY numeric
@attribute Min_AcclY numeric
@attribute RMS_AcclY numeric
@attribute Mean_AcclZ numeric
@attribute Max_AcclZ numeric
@attribute Min_AcclZ numeric
@attribute RMS_AcclZ numeric
@attribute Mean_AcclX numeric
@attribute Max_AcclX numeric
@attribute Min_AcclX numeric
@attribute RMS_AcclX numeric
@attribute Mean_GyroY numeric
@attribute Max_GyroY numeric
@attribute Min_GyroY numeric
@attribute RMS_GyroY numeric
@attribute Mean_GyroZ numeric
@attribute Max_GyroZ numeric
@attribute Min_GyroZ numeric
@attribute RMS_GyroZ numeric
@attribute result {straight,forward,straight_to_forward,forward_to_straight}

@data
0.000122,0.090458,-0.140121,0.031044,48.56525,49.717655,47.717918,48.566467,25.978828,26.404602,25.54073,25.979683,-57.437637,-56.571167,-59.94812,57.439884,0.000499,0.017102,-0.039425,0.011893,0.009398,0.243038,-0.036172,0.041159,straight
-0.201325,0.10428,-0.300446,0.251621,49.392933,50.796051,47.024517,49.397865,26.998236,28.982809,26.318409,27.018394,-58.222546,-52.732586,-59.628242,58.26688,0.017247,0.069021,-0.13313,0.048551,0.238544,0.331443,-0.141355,0.281565,straight
-0.201325,0.10428,-0.300446,0.251621,49.392933,50.796051,47.024517,49.397865,26.998236,28.982809,26.318409,27.018394,-58.222546,-52.732586,-59.628242,58.26688,0.017247,0.069021,-0.13313,0.048551,0.238544,0.331443,-0.141355,0.281565,straight
-0.201325,0.10428,-0.300446,0.251621,49.392933,50.796051,47.024517,49.397865,26.998236,28.982809,26.318409,27.018394,-58.222546,-52.732586,-59.628242,58.26688,0.017247,0.069021,-0.13313,0.048551,0.238544,0.331443,-0.141355,0.281565,straight
-0.201325,0.10428,-0.300446,0.251621,49.392933,50.796051,47.024517,49.397865,26.998236,28.982809,26.318409,27.018394,-58.222546,-52.732586,-59.628242,58.26688,0.017247,0.069021,-0.13313,0.048551,0.238544,0.331443,-0.141355,0.281565,straight
-0.083605,0.183857,-0.5616,0.250071,49.776207,51.318977,47.867317,49.780376,28.134418,35.225288,25.686304,28.250835,-54.876102,-52.529541,-56.098045,54.887051,-0.03208,0.071471,-0.197126,0.074188,0.040318,0.173689,-0.047157,0.078106,straight
-0.083605,0.183857,-0.5616,0.250071,49.776207,51.318977,47.867317,49.780376,28.134418,35.225288,25.686304,28.250835,-54.876102,-52.529541,-56.098045,54.887051,-0.03208,0.071471,-0.197126,0.074188,0.040318,0.173689,-0.047157,0.078106,straight
-0.083605,0.183857,-0.5616,0.250071,49.776207,51.318977,47.867317,49.780376,28.134418,35.225288,25.686304,28.250835,-54.876102,-52.529541,-56.098045,54.887051,-0.03208,0.071471,-0.197126,0.074188,0.040318,0.173689,-0.047157,0.078106,straight
-0.083605,0.183857,-0.5616,0.250071,49.776207,51.318977,47.867317,49.780376,28.134418,35.225288,25.686304,28.250835,-54.876102,-52.529541,-56.098045,54.887051,-0.03208,0.071471,-0.197126,0.074188,0.040318,0.173689,-0.047157,0.078106,straight
0.010009,0.059365,-0.045085,0.031396,43.654419,45.700935,42.256935,43.660156,37.67556,38.542866,36.4282,37.678986,-54.804668,-52.675121,-56.218727,54.81089,-0.003308,0.036024,-0.048613,0.022523,-0.020791,0.057147,-0.09331,0.042428,straight
